Id,Label,sexlabel,type
653,Basilio Sánchez,masculino,true
654,Diego Jesús Jiménez,masculino,true
655,Eloy Sánchez Rosillo,masculino,true
656,Romain Rolland,masculino,true
657,Miguel Sánchez-Ostiz,masculino,true
658,Pablo Amargo,masculino,true
659,Bjørnstjerne Bjørnson,masculino,true
660,Alfonso Moreno,masculino,true
661,Maurice Maeterlinck,masculino,true
662,Álvaro García,masculino,true
663,Luis Artigue,masculino,true
664,Jesús Hilario Tundidor,masculino,true
665,Joaquín Benito de Lucas,masculino,true
666,Joaquín Pérez Azaústre,masculino,true
667,Nadine Gordimer,femenino,true
668,Irene Sánchez Carrón,femenino,true
669,Alba Flores Robla,femenino,true
670,María Elena Higueruelo,femenino,true
671,María Luisa Mora Alameda,femenino,true
672,Juan Carlos Mestre,masculino,true
673,Eduardo Moga,masculino,true
674,Martha Asunción Alonso,femenino,true
675,Luis Feria,masculino,true
676,Mariano Roldán,masculino,true
677,Laura Lío,femenino,true
678,María Solar,femenino,true
679,Alaine Agirre,femenino,true
680,Cristina Morales,femenino,true
681,André Gide,masculino,true
682,Ben Clark,masculino,true
683,Beatriz Hernanz,femenino,true
684,Carlos Vaquerizo,masculino,true
685,Jorge Galán,masculino,true
686,José Antonio Gómez-Coronado,masculino,true
687,José Antonio Moreno Jurado,masculino,true
688,José Gutiérrez Román,masculino,true
689,José Infante,masculino,true
690,James Krüss,masculino,true
691,Ricardo Molina Tenor,masculino,true
692,Pat Barker,femenino,true
693,Cecil Bødker,femenino,true
694,Fernando Martínez Gil,masculino,true
695,Paco Climent,masculino,true
696,Fernando del Val,masculino,true
697,Julia Castillo,femenino,true
698,Julia Uceda,femenino,true
699,Giovanni Comisso,masculino,true
700,Astrid Lindgren,femenino,true
701,Teresa Soto González,femenino,true
702,Margaret Atwood,femenino,true
703,Juan Rulfo,masculino,true
704,Mario Soldati,masculino,true
705,Isaac Bashevis Singer,masculino,true
706,René Guillot,masculino,true
707,Klaus Ensikat,masculino,true
708,Sergio Navarro Ramírez,masculino,true
709,Ángel García López,masculino,true
710,James McBride,masculino,true
711,Arundhati Roy,femenino,true
712,Salman Rushdie,masculino,true
713,José Luis Alegre Cudós,masculino,true
714,José Martínez Ros,masculino,true
715,Yann Martel,masculino,true
716,Primo Levi,masculino,true
717,Margarita del Mazo,femenino,true
718,Carlota Ferrer,femenino,true
719,Judit Morales i Villanueva,femenino,true
720,Aroa Moreno Durán,femenino,true
721,Begoña M. Rueda,femenino,true
722,Javier Peñas Navarro,masculino,true
723,Phil Klay,masculino,true
724,Adrián González da Costa,masculino,true
725,Nelly Sachs,femenino,true
726,Rudolf Christoph Eucken,masculino,true
727,Juan Vicente Piqueras,masculino,true
728,Justo Navarro,masculino,true
729,Toni Morrison,femenino,true
730,Imre Kertész,masculino,true
731,Ángelo Néstore,masculino,true
732,José Javier Aleixandre Ybargüen,masculino,true
733,Lluís Domènech Alberdi,masculino,true
734,Lynn Freed,femenino,true
735,Mary Swan,femenino,true
736,Michelle Huneven,femenino,true
737,Stuart Dybek,masculino,true
738,Rosario Neira,femenino,true
739,Joaquín Moreno Pedrosa,femenino,true
740,Susan Kenney,femenino,true
741,Eugenio García de Nora,masculino,true
742,Francisco Serradilla,masculino,true
743,Thom Jones,masculino,true
744,Wilbur Daniel Steele,masculino,true
745,Carlos Sahagún,masculino,true
746,Giuseppe Tomasi di Lampedusa,masculino,true
747,Tormod Haugen,masculino,true
748,Michio Mado,masculino,true
749,Paula Fox,femenino,true
750,James Lasdun,masculino,true
751,Jim Shepard,masculino,true
752,John Batki,masculino,true
753,José María Sánchez-Silva y García-Morales,masculino,true
754,Meindert DeJong,masculino,true
755,Erich Kästner,masculino,true
756,Blanca Andreu,femenino,true
757,Scott O'Dell,masculino,true
758,Ana Merino,femenino,true
759,Alberto Moravia,masculino,true
760,Gianni Rodari,masculino,true
761,Anne Enright,femenino,true
762,Ian McEwan,masculino,true
763,María Gripe,femenino,true
764,Katherine Paterson,femenino,true
765,José Antonio Ramírez Lozano,masculino,true
